layer,transform,alpha,head,perturb_scale,rel_delta_fro,rel_delta_2
layer_1,raw,,0,0.01,0.008623895485167541,0.005294567018895721
layer_1,raw,,1,0.0001,6.294396568239422e-05,4.0215735906695154e-05
layer_1,raw,,1,0.001,0.0005983043610473832,0.00035643054008363426
layer_1,raw,,1,0.01,0.0061986871926217844,0.003979533433179071
layer_1,raw,,2,0.0001,8.503402556966329e-05,6.72088560670112e-05
layer_1,raw,,2,0.001,0.0007750120254615983,0.0006814169994357626
layer_1,raw,,2,0.01,0.008691102528323062,0.0076197436921151915
layer_1,raw,,3,0.0001,6.672216806881667e-05,4.878613396278513e-05
layer_1,raw,,3,0.001,0.0006038252948299901,0.0004058538037617249
layer_1,raw,,3,0.01,0.006987330690607011,0.005148986633829519
layer_1,raw,,4,0.0001,8.173659734488804e-05,5.768463955702312e-05
layer_1,raw,,4,0.001,0.00082324736980053,0.000594788981237817
layer_1,raw,,4,0.01,0.008776061336700672,0.005852164590060669
layer_1,raw,,5,0.0001,9.202535802818976e-05,6.0236395268540525e-05
layer_1,raw,,5,0.001,0.0009638385769627504,0.000783014918695473
layer_1,raw,,5,0.01,0.008409783256991068,0.005421083695619152
layer_1,raw,,6,0.0001,7.01620152236059e-05,4.78495572399899e-05
layer_1,raw,,6,0.001,0.0007813929992008771,0.0004862504182333703
layer_1,raw,,6,0.01,0.007160661325778393,0.004319596928486495
layer_1,raw,,7,0.0001,8.249398731280882e-05,5.511532118005123e-05
layer_1,raw,,7,0.001,0.0007618226213840762,0.0004854324773635445
layer_1,raw,,7,0.01,0.008013742729235081,0.005364237824980678
layer_1,raw,,8,0.0001,6.507139178264088e-05,3.7866819113507565e-05
layer_1,raw,,8,0.001,0.000649035661047165,0.000400560186034398
layer_1,raw,,8,0.01,0.006295548181336074,0.004067978141496071
layer_1,raw,,9,0.0001,9.56217625264824e-05,6.421913721015702e-05
layer_1,raw,,9,0.001,0.0008483489926960332,0.000618203773538745
layer_1,raw,,9,0.01,0.008822091402170709,0.006471990051740832
layer_1,raw,,10,0.0001,8.417199604039879e-05,6.496767942351978e-05
layer_1,raw,,10,0.001,0.0008251784974209936,0.0006401185050776871
layer_1,raw,,10,0.01,0.00902475631270447,0.006910380936716658
layer_1,raw,,11,0.0001,9.771243901665266e-05,6.364563200603627e-05
layer_1,raw,,11,0.001,0.0009687429733991925,0.0006373498990553397
layer_1,raw,,11,0.01,0.009663386575595819,0.005924233835903097
layer_1,raw,,0,0.0001,9.848452981911438e-05,6.442174044977934e-05
layer_1,raw,,0,0.001,0.0008492163905850282,0.000552990841116192
layer_1,raw,,0,0.01,0.008062155572559345,0.004777083834029139
layer_1,raw,,1,0.0001,6.704668135139224e-05,4.679296155777749e-05
layer_1,raw,,1,0.001,0.0007515596795865554,0.0005107637622526673
layer_1,raw,,1,0.01,0.006654344775855532,0.0039023697231911937
layer_1,raw,,2,0.0001,7.382607235622363e-05,5.962924378246297e-05
layer_1,raw,,2,0.001,0.0007614094971667515,0.0006083226491094026
layer_1,raw,,2,0.01,0.007656918675535432,0.005815109861855285
layer_1,raw,,3,0.0001,6.280646740689872e-05,4.935467233280535e-05
layer_1,raw,,3,0.001,0.000669443022581102,0.0004752321211753473
layer_1,raw,,3,0.01,0.006336922226696215,0.004910356680435797
layer_1,raw,,4,0.0001,8.441663299568043e-05,8.466365492201754e-05
layer_1,raw,,4,0.001,0.0008411714538407313,0.0007520334950324173
layer_1,raw,,4,0.01,0.008408002215517315,0.007946928445861976
layer_1,raw,,5,0.0001,7.574238044179049e-05,5.391224500723233e-05
layer_1,raw,,5,0.001,0.0008348552821059787,0.0006300769675771448
layer_1,raw,,5,0.01,0.0085205530769593,0.006512135213683199
layer_1,raw,,6,0.0001,8.195665360392066e-05,5.9820607490074886e-05
layer_1,raw,,6,0.001,0.0007458127229583287,0.0004961146352438517
layer_1,raw,,6,0.01,0.007479864324027333,0.006294248898177888
layer_1,raw,,7,0.0001,7.416379288856726e-05,4.918677893188498e-05
layer_1,raw,,7,0.001,0.0007203992776561583,0.0004900018891783975
layer_1,raw,,7,0.01,0.007256867775806658,0.00516702324865259
layer_1,raw,,8,0.0001,6.0885589679611886e-05,4.816138199491655e-05
layer_1,raw,,8,0.001,0.0006337773321932308,0.0004495202296513292
layer_1,raw,,8,0.01,0.006389802306530112,0.004749209888386694
layer_1,raw,,9,0.0001,8.516308718263119e-05,6.432086277431433e-05
layer_1,raw,,9,0.001,0.0008861846840385339,0.000700842112246264
layer_1,raw,,9,0.01,0.008728465049088816,0.006737430404613035
layer_1,raw,,10,0.0001,8.039612310425369e-05,7.142859351244144e-05
layer_1,raw,,10,0.001,0.0007475142824752941,0.000680957529683988
layer_1,raw,,10,0.01,0.007270950777449087,0.005856668024492258
layer_1,raw,,11,0.0001,9.781113995667088e-05,7.537218950706592e-05
layer_1,raw,,11,0.001,0.0008649231939661228,0.0005827745962159565
layer_1,raw,,11,0.01,0.009945030837222485,0.006819931419704966
layer_1,raw,,0,0.0001,0.000102124385141133,7.482844145079523e-05
layer_1,raw,,0,0.001,0.0009942482563943674,0.0006541027579650912
layer_1,raw,,0,0.01,0.008770028842282099,0.006053224332816896
layer_1,raw,,1,0.0001,7.17107056456214e-05,5.5020367646064774e-05
layer_1,raw,,1,0.001,0.0007278877689242355,0.0005819568348468923
layer_1,raw,,1,0.01,0.00666427090517159,0.004086345413577664
layer_1,raw,,2,0.0001,7.82782696419668e-05,6.215761196624159e-05
layer_1,raw,,2,0.001,0.0007092460701788795,0.000468667454574966
layer_1,raw,,2,0.01,0.006455872226544629,0.0048867295170745536
layer_1,raw,,3,0.0001,5.922160613505678e-05,4.1647132810952214e-05
layer_1,raw,,3,0.001,0.0005908722430028336,0.0004022979949478512
layer_1,raw,,3,0.01,0.006232031176101832,0.0045504611033682545
layer_1,raw,,4,0.0001,8.155136909176315e-05,7.782842905305947e-05
layer_1,raw,,4,0.001,0.0008590293628887301,0.0007382742040898272
layer_1,raw,,4,0.01,0.007640213903002643,0.006403785931617547
layer_1,raw,,5,0.0001,8.071786760289135e-05,5.50261850918594e-05
layer_1,raw,,5,0.001,0.0008551580844143672,0.0006427067964456512
layer_1,raw,,5,0.01,0.008010646463662653,0.0057804688489874806
layer_1,raw,,6,0.0001,7.260911172286407e-05,5.3957218098436126e-05
layer_1,raw,,6,0.001,0.000693512235916198,0.0004526095233445282
layer_1,raw,,6,0.01,0.007226980107423655,0.004755779731381331
layer_1,raw,,7,0.0001,7.889154575172855e-05,5.647146756488253e-05
layer_1,raw,,7,0.001,0.0007267050835055096,0.0005078327766491561
layer_1,raw,,7,0.01,0.0071874943760243185,0.00497213739830568
layer_1,raw,,8,0.0001,6.308704889012632e-05,4.402257887038724e-05
layer_1,raw,,8,0.001,0.0006181460999008093,0.00041878920846993563
layer_1,raw,,8,0.01,0.00650224726080766,0.004257823767604249
layer_1,raw,,9,0.0001,8.34243505362118e-05,6.594878282229936e-05
layer_1,raw,,9,0.001,0.0008116903169939643,0.0005679783744878726
layer_1,raw,,9,0.01,0.008403595282301087,0.007055349089403337
layer_1,raw,,10,0.0001,7.64577648057771e-05,5.3835150013070185e-05
layer_1,raw,,10,0.001,0.0006570263982303615,0.0005338341681757214
layer_1,raw,,10,0.01,0.007179316824632216,0.005168086609217392
layer_1,raw,,11,0.0001,8.740325996126621e-05,5.423337802346006e-05
layer_1,raw,,11,0.001,0.0009292020880880213,0.0005807307528274325
layer_1,raw,,11,0.01,0.009558475651967336,0.006111618506525643
layer_1,raw,,0,0.0001,8.767394923742606e-05,6.436109058361833e-05
layer_1,raw,,0,0.001,0.0009622419206995055,0.0007640863775830414
layer_1,raw,,0,0.01,0.009397362046306984,0.007445364549018456
layer_1,raw,,1,0.0001,6.76563238223215e-05,4.75138174543696e-05
