layer,matrix_type,transform,alpha,k,rel_fro_error
layer_1,G,dyt,0.25,8,0.3344367686143079
layer_1,G,dyt,0.25,16,0.26859236144420134
layer_1,G,dyt,0.25,32,0.19121231880170864
layer_1,G,dyt,0.25,64,0.10633643170033583
layer_1,G,dyt,0.25,128,0.03266776096956309
layer_1,X,dyt,0.5,1,0.9232380565133139
layer_1,X,dyt,0.5,2,0.9007430953067241
layer_1,X,dyt,0.5,4,0.86974322466292
layer_1,X,dyt,0.5,8,0.8206172513921884
layer_1,X,dyt,0.5,16,0.7468473562019572
layer_1,X,dyt,0.5,32,0.6352426637360409
layer_1,X,dyt,0.5,64,0.47006226888117203
layer_1,X,dyt,0.5,128,0.2485571968621442
layer_1,G,dyt,0.5,1,0.5549665229714906
layer_1,G,dyt,0.5,2,0.504515094829443
layer_1,G,dyt,0.5,4,0.4546479287174263
layer_1,G,dyt,0.5,8,0.38915340531637604
layer_1,G,dyt,0.5,16,0.3123728955080583
layer_1,G,dyt,0.5,32,0.22242357521050796
layer_1,G,dyt,0.5,64,0.1240633964051727
layer_1,G,dyt,0.5,128,0.03847931856657554
layer_1,X,dyt,1.0,1,0.931637891681542
layer_1,X,dyt,1.0,2,0.9064421277793143
layer_1,X,dyt,1.0,4,0.8743689037419403
layer_1,X,dyt,1.0,8,0.8244393764623864
layer_1,X,dyt,1.0,16,0.7509122217434188
layer_1,X,dyt,1.0,32,0.6400187298569789
layer_1,X,dyt,1.0,64,0.475563106388889
layer_1,X,dyt,1.0,128,0.2560714215632098
layer_1,G,dyt,1.0,1,0.6111816719097486
layer_1,G,dyt,1.0,2,0.544508452994679
layer_1,G,dyt,1.0,4,0.4874945111260963
layer_1,G,dyt,1.0,8,0.41510582055816014
layer_1,G,dyt,1.0,16,0.33336568639444025
layer_1,G,dyt,1.0,32,0.23805392181519222
layer_1,G,dyt,1.0,64,0.13337307787129432
layer_1,G,dyt,1.0,128,0.04268152927774544
layer_2,X,raw,,1,0.831767842560962
layer_2,X,raw,,2,0.7973705505761975
layer_2,X,raw,,4,0.7514410813737468
layer_2,X,raw,,8,0.6981227806563389
layer_2,X,raw,,16,0.6264775609424489
layer_2,X,raw,,32,0.52635231530086
layer_2,X,raw,,64,0.38726235379259055
layer_2,X,raw,,128,0.21342459976281725
layer_2,G,raw,,1,0.3094480071051684
layer_2,G,raw,,2,0.256625716452392
layer_2,G,raw,,4,0.20165354738593158
layer_2,G,raw,,8,0.1615635798313946
layer_2,G,raw,,16,0.12296559549383447
