layer,matrix_type,transform,alpha,n_rows,n_cols,sigma1,numerical_rank,kappa_eff,stable_rank,effective_rank,fro_norm
layer_4,G,dyt,0.5,512.0,512.0,4257.934788269328,327.0,946880.5888097958,1.2914058260029029,65.21620235877135,4838.718715785986
layer_4,X,dyt,1.0,512.0,768.0,105.09788077409883,348.0,4583.08222087149,5.500731920161458,222.79924885665548,246.4927777015397
layer_4,G,dyt,1.0,512.0,512.0,11045.564565479297,328.0,819577.891776954,1.4067730707601473,71.79634527068185,13100.864104575947
layer_5,X,raw,,512.0,768.0,364.6032800624672,348.0,5667.721970260118,1.4728506482667834,170.51884510818815,442.4863994451357
layer_5,G,raw,,512.0,512.0,132935.55174854625,315.0,848880.207004981,1.0046835144803479,7.993143273737472,133246.49089262277
layer_5,X,ln,,512.0,768.0,481.2173841811649,348.0,894.8281407709106,1.6978618517235675,169.32052853856865,627.0360109780188
layer_5,G,ln,,512.0,512.0,231570.17014874655,348.0,800580.9904463461,1.0477473214002104,9.228459484377474,237034.13588615687
layer_5,X,dyt,0.25,512.0,768.0,46.95265496152478,348.0,2887.671096322239,2.670360719866323,196.76024886175568,76.72645275798024
layer_5,G,dyt,0.25,512.0,512.0,2204.551808693412,329.0,938875.670045402,1.0548821873156962,33.482282336104085,2264.2391170279743
layer_5,X,dyt,0.5,512.0,768.0,81.23745980400174,348.0,2512.5567647766225,3.0114682504489885,200.40242740537087,140.9760959536612
layer_5,G,dyt,0.5,512.0,512.0,6599.524864653724,333.0,963141.6393005416,1.0777857081146234,39.998207513006996,6851.393000467612
layer_5,X,dyt,1.0,512.0,768.0,135.61621159652196,348.0,2082.9495964828616,3.196495454143654,204.76228292183876,242.46477508637108
layer_5,G,dyt,1.0,512.0,512.0,18391.75686120121,336.0,883258.8179609308,1.0900409643013305,43.87202183019978,19201.918699221278
layer_6,X,raw,,512.0,768.0,180.93822502273554,348.0,669.2541362738936,2.4218063824541662,168.9964331812001,281.5788528834618
layer_6,G,raw,,512.0,512.0,32738.641254065013,348.0,449110.61274741445,1.303332003354314,13.934183036787564,37375.60064782006
layer_6,X,ln,,512.0,768.0,420.5982753035092,348.0,884.1425725134728,2.2226563630966667,173.87195004019648,627.0521324081888
layer_6,G,ln,,512.0,512.0,176902.90892411623,348.0,780270.5110215193,1.119704020799913,15.940770901356009,187191.7020752753
layer_6,X,dyt,0.25,512.0,768.0,42.39498862834442,348.0,633.754086223729,2.355571074386489,175.65501913079885,65.06727656967948
layer_6,G,dyt,0.25,512.0,512.0,1797.335056168983,348.0,401867.05815329746,1.183973910836629,16.20270281304246,1955.690433916923
layer_6,X,dyt,0.5,512.0,768.0,79.2788822801401,348.0,605.8433847925771,2.381883650110418,179.19565987706912,122.3538924790281
layer_6,G,dyt,0.5,512.0,512.0,6285.1411576340815,348.0,366924.49897510174,1.167503859545376,17.52054453609384,6791.163687447945
layer_6,X,dyt,1.0,512.0,768.0,141.20548687375714,348.0,562.1464734589641,2.4049571735968724,183.17568521374932,218.98040069427336
layer_6,G,dyt,1.0,512.0,512.0,19938.98951672911,348.0,316523.75325486826,1.1575495335456618,18.638397091950853,21452.254331016127
layer_1,S,raw,,,,19.379745916196978,15.9375,1677.7239355615595,1.9281388617641506,9.088176913279609,26.98261045152451
layer_1,S,ln,,,,55.84550586032333,15.9375,1169.1984331741157,1.900563155301734,8.669817941835435,77.32931411728406
layer_1,S,dyt,0.25,,,3.289696597684836,15.9375,2837.663265053107,1.140796864731915,5.9221936679816425,3.494360369318683
layer_1,S,dyt,0.5,,,6.737854534730474,15.9375,1786.0811112499423,1.4154002361866984,7.725489828534571,7.937615844794418
layer_1,S,dyt,1.0,,,14.310149658441965,15.9375,1367.9181132340852,1.7079671162914132,8.623533810303677,18.70337357416806
layer_2,S,raw,,,,36.99389138826549,15.9375,2814.2105951620274,1.609380091033574,7.357205356654774,48.734667203687856
layer_2,S,ln,,,,122.2607432522902,15.9375,1512.133015243425,1.5233003168584478,6.723691687252427,154.79407424359002
layer_2,S,dyt,0.25,,,1.9280731080951565,15.9375,1954.4501458530958,1.752962386239106,7.948609214536876,2.697552421976351
layer_2,S,dyt,0.5,,,5.16240474763886,15.934895833333334,1235.8226439464142,2.1538844540459188,8.868989904398301,8.021164952983897
layer_2,S,dyt,1.0,,,14.300353486689936,15.9375,632.9417669847131,2.237154121090494,9.161366727607815,22.54082029631786
layer_3,S,raw,,,,39.12659226390344,15.9375,3850.578657724631,1.3889500024834607,6.838963825710806,44.71977704330194
layer_3,S,ln,,,,103.73213545736729,15.934895833333334,1927.8193998094741,1.3575892692615266,6.669915136613629,118.00905762561497
layer_3,S,dyt,0.25,,,1.736271108607079,15.9375,1744.5491852186203,1.577280463842303,7.39510017693475,2.098440183137916
layer_3,S,dyt,0.5,,,3.803533153368383,15.9375,1291.5507270729443,2.003858258726886,8.684576574950409,5.315392781402347
layer_3,S,dyt,1.0,,,9.579651180610677,15.9375,1105.7249166013387,2.183847175575772,9.152579443500597,13.912908283213063
layer_4,S,raw,,,,34.75108999286206,15.9375,3529.0247058763075,1.530666018386065,6.889744968768739,42.40648814236624
layer_4,S,ln,,,,83.80199792749887,15.9375,1898.0218131076545,1.4226933700566935,6.715741225041853,99.20295479511691
layer_4,S,dyt,0.25,,,1.9269498180209137,15.9375,1755.8003396914262,1.5625390685421692,6.732181498752013,2.377245205734875
layer_4,S,dyt,0.5,,,4.378533438840509,15.934895833333334,2767.043086218797,2.0228882263554233,7.815045203136546,6.238214209108977
layer_4,S,dyt,1.0,,,11.082540350835535,15.934895833333334,1867.9982400406225,2.1051980845087273,8.288616057518537,16.06385251083557
layer_5,S,raw,,,,43.58345240745124,15.9375,3387.098750323219,1.1475461483246878,5.365341181039921,46.03397155547384
layer_5,S,ln,,,,102.54823363884817,15.9375,3697.449548739902,1.106421419652411,4.977759001828564,107.57312476316285
layer_5,S,dyt,0.25,,,3.3768484543276283,15.9375,4419.426673920746,1.1317996454788959,4.710649029396294,3.4894793657817047
layer_5,S,dyt,0.5,,,5.365624125596234,15.9375,2022.8597086377467,1.4352396811410364,6.849322535595214,6.140051000027776
layer_5,S,dyt,1.0,,,10.727047815448776,15.9375,4105.468450126193,1.7672126816207767,7.914476057611304,13.486750027099433
layer_6,S,raw,,,,35.69183396244179,15.9375,11741.723464092813,1.2075475998371956,4.425255179018837,37.62064099647002
layer_6,S,ln,,,,169.11905284627662,15.934895833333334,14393.367149587413,1.0519013846663212,2.998706593180609,173.03691168960844
layer_6,S,dyt,0.25,,,2.3566533049990355,15.934895833333334,10380.400385168048,1.1151058815648354,4.210415068708037,2.449026789630454
layer_6,S,dyt,0.5,,,5.157745734530656,15.9375,6629.163869840537,1.2421250447181096,5.305129720703445,5.624653059297081
layer_6,S,dyt,1.0,,,11.398015579637558,15.9375,6870.346274169046,1.4257146242360321,6.0872466191891474,13.093930542124186
